Q	NPV	Sol	Cap	NVP-sol
nm-1				
0.083530329	52703.8348451674	189.674538210793	149.6862336735	52514.1603069566
0.088697553	48330.6737566469	182.014037357065	158.227128023564	48148.6597192898
0.093864776	38967.2693149828	154.435070109174	140.430366546666	38812.8342448736
0.099032	31971.2055051611	124.076783773995	120.176527029841	31847.1287213871
0.10419923	26670.6030653738	113.988461737466	101.375304215882	26556.6146036363
0.10936645	22483.2699405693	105.595022507373	87.00934515486	22377.6749180619
0.11453368	18841.2430403503	97.0457546437626	72.9964356906965	18744.1972857066
0.1197009	15842.320925868	85.6073161897863	64.35986433013	15756.7136096782
0.12486813	13160	73.279344957831	55.9545535687721	13086.7206550422
0.13003536	10984.468564279	66.228581776789	50.1172919579899	10918.2399825022
0.13520259	9196.68877072255	58.0204739483624	44.8264556246467	9138.66829677419
0.1403698	7744.76822020644	49.2170160914783	39.405557704323	7695.55120411497
0.14553703	6617.580231467	44.389357375692	37.1757266966172	6573.19087409131
0.15070425	5693.59493274945	41.1569333057381	32.5475499092559	5652.43799944371
0.15587148	4979.88076321551	37.0031805246546	28.9364389634346	4942.87758269086
0.16103871	4347.07657178605	34.1899596419517	27.1717443694029	4312.8866121441
0.16620593	3835.61914294651	32.762440627102	25.0541028234804	3802.85670231941
0.17137316	3399.01939318111	29.1645273451648	23.5497857844158	3369.85486583594
0.17654039	3007.54638723804	28.4308019868578	21.8816949808099	2979.11558525118
0.18170761	2671.77322489834	26.093567030579	20.4753057034899	2645.67965786776
0.18687484	2374.17785423835	24.9148931546541	19.3252000833061	2349.26296108369
0.19204205	2147.43484516734	22.2106959176282	18.1002975216447	2125.22414924972
0.19720928	1926.47819831092	22.5568769079526	17.2058076225045	1903.92132140296
0.20237651	1724.10153268689	21.156675117711	16.4693508077713	1702.94485756918
0.20754373	1551.26068188927	20.1719930666943	15.5392297164619	1531.08868882258
0.21271096	1410.72655614639	18.9993392663114	14.9311520038083	1391.72721688008
0.21787819	1281.60075070378	18.6432721063797	14.714189402279	1262.95747859741
0.22304541	1158.61307475759	18.8963657060071	14.1443356341674	1139.71670905158
0.22821264	1058.63346887707	17.7281823355927	13.3476907857547	1040.90528654148
0.23337986	972.943259305599	17.2811957365344	12.6253571747345	955.662063569065
0.23854709	885.874131998749	17.5114259843742	12.7940895837672	868.362706014375
0.24371432	812.565342508602	16.4522709163347	12.2326684716313	796.113071592267
0.24888153	746.48495464498	17.0923148962591	11.6575201570914	729.392639748721
0.25404876	691.736940882077	16.2230232317483	12.1161653922823	675.513917650329
0.25921598	632.954269627776	16.2084369017437	11.8737645413704	616.745832726032
0.26438323	583.965598999062	15.5050582087235	11.3795916515426	568.460540790338
0.26955044	543.310828902096	15.3339612976665	10.8812973431317	527.976867604429
0.27471766	508.221532686894	16.2091302323175	10.9776940584928	492.012402454576
0.2798849	464.165586487332	15.1789698349459	10.8900763143019	448.986616652386
0.28505212	438.218104472943	14.9833823148963	10.3718416589807	423.234722158047
0.29021934	406.729921801689	15.1705950225074	10.0619329981256	391.559326779182
